Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
871p.txt	1	71	88.38	50.00	1.86	99.00	71.00	4.23	80.28	8.45	1.41	1.41	0.00	1.41	0.00	0.00	0.00	0.00	0.00	2.82	1.41	1.41	1.41	1.41	30.99	7.04	0.00	0.00	0.00	0.00	25.35	18.31	7.04	0.00	5.63	1.41	4.23	0.00	0.00	0.00	1.41	9.86	0.00	0.00	8.45	0.00	0.00	1.41	0.00	0.00	0.00	0.00	5.63	2.82	0.00	1.41	0.00	11.27	2.82	0.00	4.23	4.23	0.00	0.00	30.99	0.00	15.49	11.27	2.82	1.41	0.00	0.00	0.00	5.63	7.04	0.00	11.27	2.82	0.00	7.04	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
488p.txt	1	54	41.19	97.90	79.42	60.88	54.00	1.85	83.33	31.48	9.26	9.26	3.70	0.00	5.56	0.00	0.00	0.00	0.00	3.70	12.96	3.70	0.00	1.85	38.89	0.00	0.00	0.00	0.00	0.00	5.56	3.70	1.85	1.85	0.00	0.00	20.37	1.85	0.00	0.00	1.85	11.11	3.70	1.85	1.85	1.85	1.85	0.00	3.70	1.85	1.85	0.00	1.85	0.00	0.00	0.00	0.00	11.11	5.56	0.00	0.00	5.56	0.00	0.00	29.63	3.70	20.37	12.96	7.41	3.70	1.85	7.41	1.85	0.00	0.00	0.00	1.85	0.00	0.00	1.85	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.85
522p.txt	1	109	74.05	42.71	99.00	99.00	109.00	7.34	81.65	27.52	7.34	4.59	3.67	0.00	0.92	0.00	0.00	2.75	0.92	9.17	3.67	6.42	0.00	4.59	23.85	5.50	1.83	0.00	1.83	0.00	10.09	8.26	1.83	0.00	0.00	0.92	6.42	0.00	0.00	0.00	0.00	24.77	9.17	0.92	1.83	5.50	10.09	0.92	2.75	0.00	0.00	2.75	2.75	0.00	0.00	0.00	0.00	11.93	3.67	0.92	1.83	4.59	0.92	0.00	22.94	0.00	27.52	3.67	7.34	16.51	0.00	2.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.34
037p.txt	1	72	75.90	66.17	4.97	77.00	72.00	11.11	84.72	13.89	6.94	0.00	0.00	0.00	0.00	0.00	0.00	6.94	0.00	1.39	2.78	2.78	0.00	0.00	16.67	8.33	0.00	0.00	4.17	0.00	5.56	4.17	1.39	0.00	0.00	0.00	4.17	0.00	2.78	0.00	0.00	9.72	0.00	0.00	2.78	6.94	0.00	0.00	15.28	9.72	0.00	1.39	16.67	12.50	0.00	0.00	4.17	4.17	0.00	0.00	1.39	2.78	0.00	0.00	16.67	0.00	13.89	9.72	2.78	1.39	0.00	2.78	1.39	1.39	0.00	0.00	8.33	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
575p.txt	1	533	86.60	56.71	35.44	46.51	533.00	13.32	61.73	15.95	3.75	2.06	0.94	0.19	0.75	0.00	0.19	1.69	0.75	5.44	1.88	3.19	2.06	0.75	12.76	4.50	3.75	0.00	4.50	1.13	3.75	2.44	1.31	0.00	0.19	0.19	5.44	1.13	0.00	0.75	0.94	8.26	1.13	1.50	0.56	2.25	0.75	2.25	2.63	0.38	1.31	0.75	4.13	2.63	0.94	0.19	0.56	10.51	1.31	4.88	4.50	1.69	1.13	0.00	8.63	2.63	15.01	5.25	8.26	3.00	0.94	2.25	0.75	0.75	0.19	0.19	9.01	0.75	4.50	3.38	1.13	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50
125p.txt	1	174	84.23	83.58	3.81	95.04	174.00	5.17	48.28	12.64	8.05	5.75	2.30	0.57	2.87	0.00	0.00	2.30	0.57	2.30	1.15	0.57	0.00	0.00	8.05	0.57	2.30	0.00	4.60	1.72	5.75	5.17	0.57	0.00	0.57	0.00	8.62	0.00	0.00	0.00	0.00	5.75	2.30	0.00	0.57	1.15	1.72	0.00	4.02	1.15	1.15	1.72	1.72	1.15	0.00	0.00	0.57	5.17	3.45	0.57	2.87	1.15	0.00	0.00	6.90	0.00	6.32	2.87	2.30	1.72	0.57	0.57	0.00	0.00	0.00	0.00	9.20	0.00	2.30	3.45	6.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
826p.txt	1	91	90.97	77.92	28.45	11.53	91.00	23.08	76.92	12.09	3.30	2.20	2.20	0.00	0.00	0.00	0.00	1.10	0.00	5.49	2.20	0.00	2.20	0.00	25.27	9.89	1.10	0.00	0.00	1.10	7.69	3.30	4.40	0.00	1.10	1.10	9.89	1.10	0.00	2.20	2.20	21.98	9.89	9.89	8.79	2.20	1.10	0.00	3.30	0.00	2.20	1.10	2.20	0.00	2.20	0.00	0.00	23.08	3.30	9.89	4.40	6.59	1.10	1.10	21.98	1.10	14.29	2.20	4.40	7.69	0.00	2.20	0.00	1.10	0.00	0.00	2.20	0.00	2.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
430p.txt	1	110	44.96	32.48	37.51	25.77	110.00	12.73	90.00	24.55	7.27	2.73	0.91	0.00	0.00	0.00	1.82	4.55	0.00	1.82	6.36	6.36	1.82	2.73	21.82	9.09	0.91	0.00	1.82	1.82	21.82	10.91	10.91	1.82	5.45	0.91	4.55	0.00	0.00	0.00	0.00	20.91	3.64	1.82	4.55	4.55	3.64	3.64	4.55	0.91	0.00	3.64	3.64	0.00	0.91	2.73	0.00	10.00	0.00	6.36	4.55	0.00	0.00	0.91	25.45	1.82	15.45	1.82	5.45	8.18	11.82	0.91	1.82	0.91	0.91	0.91	3.64	1.82	0.91	0.00	0.91	0.00	6.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.36
060p.txt	1	142	65.18	96.07	60.11	1.98	142.00	11.97	76.76	26.06	4.23	2.82	1.41	0.70	0.70	0.00	0.00	1.41	0.00	7.04	8.45	9.86	0.00	0.00	23.24	0.00	2.11	0.00	0.00	0.70	5.63	1.41	4.23	0.70	0.00	3.52	17.61	11.27	0.00	13.38	0.70	4.93	0.00	0.00	2.11	0.70	2.11	0.00	2.11	0.00	0.70	1.41	0.00	0.00	0.00	0.00	0.00	21.83	12.68	3.52	0.70	4.23	4.23	0.00	23.24	0.00	23.24	6.34	7.04	9.86	0.00	2.82	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
349p.txt	1	136	76.08	83.05	61.77	94.01	136.00	7.35	78.68	15.44	4.41	2.94	0.00	0.00	0.00	2.21	0.74	1.47	0.00	4.41	2.94	4.41	2.21	1.47	13.24	5.15	2.94	0.00	0.00	0.74	5.88	5.15	0.74	0.00	0.00	0.74	12.50	0.74	1.47	0.00	5.88	12.50	3.68	0.00	5.15	0.00	2.21	1.47	5.88	3.68	2.21	0.00	1.47	0.00	0.00	0.00	0.00	14.71	2.94	0.00	10.29	0.74	0.74	0.74	8.82	0.00	25.00	2.21	5.88	16.91	1.47	3.68	0.00	0.00	8.09	0.00	7.35	0.00	0.00	0.00	7.35	0.00	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.47
